"id","tweet_list","location","retweet","hashtags","sentiment"
"StewartButton","And, I'd love to say that I spend all day trying to get my printer working, but that would leave no time left for g… https://t.co/bjz5nEBPQU","London","0",,"positive"
"RochdaleArtists","Healey Dell Rochdale No2 #HealeyDell #Healey #Rochdale #Dell - Print Run of 100 https://t.co/VFpJZGdhrr… https://t.co/lIkksi22Hm","Rochdale & Manchester","0","{'text': 'HealeyDell', 'indices': [25, 36]} {'text': 'Healey', 'indices': [37, 44]} {'text': 'Rochdale', 'indices': [45, 54]} {'text': 'Dell', 'indices': [55, 60]}","neutral"
"Prateek36472729","@Dell @DellCares @DellCaresPRO @dell brought a new inspiron 3590, trying to get connected to customer support from… https://t.co/kLBuL4CQ6e",,"0",,"positive"
"CeotechI","RT @CeotechI: Acer Aspire 7 A715-75G-56ZA con Intel Core i5-9300H, RAM 8 GB DDR4, 512 GB PCIe NVMe SSD, Display 15.6"" FHD IPS LED LCD, NVID…",,"6",,"neutral"
"DabashDeals","Gain more productivity and run required applications easily with this #Dell Latitude E6420 Laptop – Intel Core i5 f… https://t.co/5vtVMbYJOr",,"0","{'text': 'Dell', 'indices': [70, 75]}","positive"
"KawikaAguiar","Finally all the prices for my desk is together!! #PCGaming #streaming #Hue #dell https://t.co/O5XnniCtd8",,"0","{'text': 'PCGaming', 'indices': [49, 58]} {'text': 'streaming', 'indices': [59, 69]} {'text': 'Hue', 'indices': [70, 74]} {'text': 'dell', 'indices': [75, 80]}","neutral"
"pcproblems_nj","We partner with vendors like #Dell, #HP and #IBM, so we have parts on hand or can quickly obtain them to address re… https://t.co/KUrUVS9JNj","50 Main St., Madison, NJ 07940","0","{'text': 'Dell', 'indices': [29, 34]} {'text': 'HP', 'indices': [36, 39]} {'text': 'IBM', 'indices': [44, 48]}","positive"
"mary_lzbhonst","@Dell @DestinyTheGame @AMDGaming Entered! Thanks for the generous opportunity! #Dell #destinythegame #GamingLaptop… https://t.co/xoy2wO8ons",,"0","{'text': 'Dell', 'indices': [79, 84]} {'text': 'destinythegame', 'indices': [85, 100]} {'text': 'GamingLaptop', 'indices': [101, 114]}","positive"
"LudovicoLoreti","Dell EMC Patched High-Severity Vulnerability In iDRAC Controller https://t.co/YTTjopX0gM #News #Vulnerabilities… https://t.co/vmzTE6yj1i",,"0","{'text': 'News', 'indices': [89, 94]} {'text': 'Vulnerabilities', 'indices': [95, 111]}","neutral"
"dpksheoran10","@DellTechIndia @Dell @DellCares Hi Dell ..I am an old customer of #dell&amp; have atleast 7 dell laptops in my family.… https://t.co/kIkIqS21lb","नई दिल्ली, भारत","0","{'text': 'dell', 'indices': [66, 71]}","positive"
"dpksheoran10","@Dell Hi Dell team..I am a regular customer of #dell&amp; have atleast 7 dell laptops in my family. Recently bought a… https://t.co/WGcDaTgUb7","नई दिल्ली, भारत","0","{'text': 'dell', 'indices': [47, 52]}","neutral"
"minicksbargain","Want a new laptop for your child or yourself? Come to https://t.co/pnTSaVlEqX and check our this 2020 HP 14“ Laptop… https://t.co/WVBVjcOSKi",,"0",,"positive"
"your_techy","Docking Station Type C Plug HDMI USB Power Delivery Hub for Laptop - https://t.co/cSS8nSMa51 - #dell… https://t.co/qq6gLeEtqz","United Kingdom","0","{'text': 'dell', 'indices': [95, 100]}","neutral"
"AgriusI","We are fully capable and specialized in selling all EOL/EOSL SERVER machines of HP (all Generations) in 60 to 70% l… https://t.co/cK0ZuUdviy",,"0",,"positive"
"whynew5","Buy used i5 lenovo laptops in Bangalore, visit https://t.co/u2AhGwuBx7. 100% quality guaranteed, Contact us:???? +9198… https://t.co/zv5DxdZfHt","Bengaluru, India","0",,"neutral"
"goldminegroups","Best computer and Laptops services done by our experts

Call Now: 044-42122666 / +91 9940044293… https://t.co/RNr8ICC4Yp",,"0",,"positive"
"developersbot","RT @goldminegroups: CCTV SERVICES &amp; NEW INSTALLATION IN CHENNAI
Done by our experts

Call Now : 044-42122666 / +91 9940044290
https://t.co/…","AWS Server","1",,"positive"
"goldminegroups","CCTV SERVICES &amp; NEW INSTALLATION IN CHENNAI
Done by our experts

Call Now : 044-42122666 / +91 9940044290… https://t.co/PfJLgaIT17",,"1",,"positive"
"Razorok619","RT @Razorok619: https://t.co/mlhm29cmRr #optiplex #bsod #asus #dell #nvidia #PCGaming #PCMasterRace #fuck #help #computer #gtx #hardrive @D…",,"1","{'text': 'optiplex', 'indices': [40, 49]} {'text': 'bsod', 'indices': [50, 55]} {'text': 'asus', 'indices': [56, 61]} {'text': 'dell', 'indices': [62, 67]} {'text': 'nvidia', 'indices': [68, 75]} {'text': 'PCGaming', 'indices': [76, 85]} {'text': 'PCMasterRace', 'indices': [86, 99]} {'text': 'fuck', 'indices': [100, 105]} {'text': 'help', 'indices': [106, 111]} {'text': 'computer', 'indices': [112, 121]} {'text': 'gtx', 'indices': [122, 126]} {'text': 'hardrive', 'indices': [127, 136]}","negative"
"Razorok619","https://t.co/mlhm29cmRr #optiplex #bsod #asus #dell #nvidia #PCGaming #PCMasterRace #fuck #help #computer #gtx… https://t.co/2lYpHCXllZ",,"1","{'text': 'optiplex', 'indices': [24, 33]} {'text': 'bsod', 'indices': [34, 39]} {'text': 'asus', 'indices': [40, 45]} {'text': 'dell', 'indices': [46, 51]} {'text': 'nvidia', 'indices': [52, 59]} {'text': 'PCGaming', 'indices': [60, 69]} {'text': 'PCMasterRace', 'indices': [70, 83]} {'text': 'fuck', 'indices': [84, 89]} {'text': 'help', 'indices': [90, 95]} {'text': 'computer', 'indices': [96, 105]} {'text': 'gtx', 'indices': [106, 110]}","negative"
"dalportodev","https://t.co/OHz06tYEut How Much Screen Flex Can the HP Omen 15 Handle? ????????????
#legion #twitch #benchmark #laptops… https://t.co/DZYmawAlmz","California, USA","0","{'text': 'legion', 'indices': [76, 83]} {'text': 'twitch', 'indices': [84, 91]} {'text': 'benchmark', 'indices': [92, 102]} {'text': 'laptops', 'indices': [103, 111]}","positive"
"tangenghui","New #Technology Blog Post: New #Dell G Series products, designed for gamers at every level, offering great value al… https://t.co/1GbElC13wG","Singapore","0","{'text': 'Technology', 'indices': [4, 15]} {'text': 'Dell', 'indices': [31, 36]}","positive"
"FrauAnarcha","RT @dukemoney63: Well this seems climatic! https://t.co/RriDvEzpuU #twitch #acer #dell #nvidia #intel #corsair #gskill #evga #blueyeti #sen…","Rhein-Ruhr-Megaplex","3","{'text': 'twitch', 'indices': [67, 74]} {'text': 'acer', 'indices': [75, 80]} {'text': 'dell', 'indices': [81, 86]} {'text': 'nvidia', 'indices': [87, 94]} {'text': 'intel', 'indices': [95, 101]} {'text': 'corsair', 'indices': [102, 110]} {'text': 'gskill', 'indices': [111, 118]} {'text': 'evga', 'indices': [119, 124]} {'text': 'blueyeti', 'indices': [125, 134]}","neutral"
"ShadowrunBot","RT @dukemoney63: Well this seems climatic! https://t.co/RriDvEzpuU #twitch #acer #dell #nvidia #intel #corsair #gskill #evga #blueyeti #sen…",,"3","{'text': 'twitch', 'indices': [67, 74]} {'text': 'acer', 'indices': [75, 80]} {'text': 'dell', 'indices': [81, 86]} {'text': 'nvidia', 'indices': [87, 94]} {'text': 'intel', 'indices': [95, 101]} {'text': 'corsair', 'indices': [102, 110]} {'text': 'gskill', 'indices': [111, 118]} {'text': 'evga', 'indices': [119, 124]} {'text': 'blueyeti', 'indices': [125, 134]}","neutral"
"dukemoney63","Well this seems climatic! https://t.co/RriDvEzpuU #twitch #acer #dell #nvidia #intel #corsair #gskill #evga… https://t.co/OpKC1wiQe5",,"3","{'text': 'twitch', 'indices': [50, 57]} {'text': 'acer', 'indices': [58, 63]} {'text': 'dell', 'indices': [64, 69]} {'text': 'nvidia', 'indices': [70, 77]} {'text': 'intel', 'indices': [78, 84]} {'text': 'corsair', 'indices': [85, 93]} {'text': 'gskill', 'indices': [94, 101]} {'text': 'evga', 'indices': [102, 107]}","neutral"
"StrategicalIT","[RP] The next VLOG/Podcast has gone live :-) This time @ninjaprav and I have a chat about DevOps from an Infrastruc… https://t.co/MYkOio5z3H","Australia","0",,"positive"
"tangenghui","New #Dell G Series products, designed for #gamers at every level, offering great value along with upscale design an… https://t.co/lanr0jYoNJ","Singapore","1","{'text': 'Dell', 'indices': [4, 9]} {'text': 'gamers', 'indices': [42, 49]}","positive"
"Fragapalooza","*Sponsorship Announcement* 
#CDW Corporation has sponsored Fragapalooza in the past. This year they are working wit… https://t.co/7PrT7cOrYP","Edmonton, AB Canada","0","{'text': 'CDW', 'indices': [28, 32]}","negative"
"CXtec","Here's a guide to show you how to get the best monetary value for your used network hardware, while still ensuring… https://t.co/xqhQW1Lshj","Syracuse, NY","0",,"positive"
"djokokris","HyperConvergence Infrastructure : An Introduction to Dell EMC VxRail

#dell
#vxrail

https://t.co/DDYf8YDoT1","ÜT: 2.932501,101.624865","0","{'text': 'dell', 'indices': [70, 75]} {'text': 'vxrail', 'indices': [76, 83]}","neutral"
"tsalad","Also, hi-tech, #Dell bringing to TX all their hippie coders who spawned little lefty jr.'s as well as being a "" Uni… https://t.co/CW1z7LSnVM","California","0","{'text': 'Dell', 'indices': [15, 20]}","negative"
"nlognbot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"xaelbot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…","Earth","18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"andrewmorrisuk","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…","Bedford","18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"nodeQuotesBot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"CodeGnuts","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"WFH_repeat","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"skimtweet","RT @GhassanKosta: Insightful discussion with Michael Dell on how technology amplifies human potential, the importance of diversity in the t…","California, USA","1",,"neutral"
"GhassanKosta","Insightful discussion with Michael Dell on how technology amplifies human potential, the importance of diversity in… https://t.co/cncWB9MHQD","Doha, Qatar","1",,"neutral"
"scottro26","It time for American companies to leave China. You want equality in America, well how about also where your product… https://t.co/rIjmmnfY4I","New York City Native","0",,"neutral"
"NSCompTechs","Before and After! Swipe to see the difference! This Pc is brand new! 

⏩⏩⏩????????????

Thank you for the Support!… https://t.co/soSdtK3zX0","Queens/Long Island, New York","0",,"positive"
"AppleRetweetBot","RT @dgsoftinfotek: Happy Friendship day ???? ???? ???? ????

#dgsoftinfotek #dgsoft #apple #dell #hp #asus #lenovo #computer #laptop #technology #repai…",,"1","{'text': 'dgsoftinfotek', 'indices': [49, 63]} {'text': 'dgsoft', 'indices': [64, 71]} {'text': 'apple', 'indices': [72, 78]} {'text': 'dell', 'indices': [79, 84]} {'text': 'hp', 'indices': [85, 88]} {'text': 'asus', 'indices': [89, 94]} {'text': 'lenovo', 'indices': [95, 102]} {'text': 'computer', 'indices': [103, 112]} {'text': 'laptop', 'indices': [113, 120]} {'text': 'technology', 'indices': [121, 132]}","positive"
"dgsoftinfotek","Happy Friendship day ???? ???? ???? ????

#dgsoftinfotek #dgsoft #apple #dell #hp #asus #lenovo #computer #laptop #technology… https://t.co/accz1G74tH","Palghar","1","{'text': 'dgsoftinfotek', 'indices': [30, 44]} {'text': 'dgsoft', 'indices': [45, 52]} {'text': 'apple', 'indices': [53, 59]} {'text': 'dell', 'indices': [60, 65]} {'text': 'hp', 'indices': [66, 69]} {'text': 'asus', 'indices': [70, 75]} {'text': 'lenovo', 'indices': [76, 83]} {'text': 'computer', 'indices': [84, 93]} {'text': 'laptop', 'indices': [94, 101]} {'text': 'technology', 'indices': [102, 113]}","positive"
"IdahoSmoothie","Dell is stuntin on the stoop while drinkin a smooth! 
~Where is your favorite spot to be sippin on a smoothie?~… https://t.co/5U2HfsvT1Z","777 West Main Street, Boise ID","0",,"positive"
"ObwoyaH","Find all computer brands #apple #dell #HP #hdmi  and other Accessories #headsets #antivirus https://t.co/ph5SBjRMK2",,"1","{'text': 'apple', 'indices': [25, 31]} {'text': 'dell', 'indices': [32, 37]} {'text': 'HP', 'indices': [38, 41]} {'text': 'hdmi', 'indices': [42, 47]} {'text': 'headsets', 'indices': [71, 80]} {'text': 'antivirus', 'indices': [81, 91]}","negative"
"TechMedicJa","Nice beer...next stop liquid damage.

#liquiddamage #macbook #computers #dell https://t.co/L1Bl7NHflR","Jamaica","0","{'text': 'liquiddamage', 'indices': [38, 51]} {'text': 'macbook', 'indices': [52, 60]} {'text': 'computers', 'indices': [61, 71]} {'text': 'dell', 'indices': [72, 77]}","positive"
"johnanthonycode","Creating software magic always put a smile on my face! ????
#SoftwareEngineering #Android #Microsoft #Apple #app… https://t.co/Wag4Lwvvi3",,"0","{'text': 'SoftwareEngineering', 'indices': [57, 77]} {'text': 'Android', 'indices': [78, 86]} {'text': 'Microsoft', 'indices': [87, 97]} {'text': 'Apple', 'indices': [98, 104]} {'text': 'app', 'indices': [105, 109]}","positive"
"DM_newbie","Due to #Covid19 people have shifted to online buying. In this #pandemic situation, it is super easy to order from A… https://t.co/xeNmGsOJMh",,"0","{'text': 'Covid19', 'indices': [7, 15]} {'text': 'pandemic', 'indices': [62, 71]}","positive"
"widjojoronald","WFH 101: Starter Pack - Making WFH Less Suck

#dell #leopoldkeyboard #fc750r #jblflip3 #wf1000xm3 #teampixel https://t.co/j36rOafJTu",,"0","{'text': 'dell', 'indices': [46, 51]} {'text': 'leopoldkeyboard', 'indices': [52, 68]} {'text': 'fc750r', 'indices': [69, 76]} {'text': 'jblflip3', 'indices': [77, 86]} {'text': 'wf1000xm3', 'indices': [87, 97]} {'text': 'teampixel', 'indices': [98, 108]}","negative"
"nodeQuotesBot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"developersbot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…","AWS Server","18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"friday_Js_bot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"techtrendingnow","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"cybersec_feeds","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…","Internet","18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"puneeth_kanna","RT @DevsKrate: Let's see what this tinay computer can do????

Follow us @devskrate ???? for more interesting stuff..
#computer #mini #laptop #sup…","Hyderabad, India","4","{'text': 'computer', 'indices': [111, 120]} {'text': 'mini', 'indices': [121, 126]} {'text': 'laptop', 'indices': [127, 134]}","positive"
"AKopbayev","Really funny story. #Dell releases a monitor marked as USB-C compliant, the monitor violates USB-C specs. Dell refu… https://t.co/A4wUQ1jtEe","Sydney, New South Wales","1","{'text': 'Dell', 'indices': [20, 25]}","positive"
"Anvith64518557","RT @DevsKrate: Let's see what this tinay computer can do????

Follow us @devskrate ???? for more interesting stuff..
#computer #mini #laptop #sup…","Bangalore","4","{'text': 'computer', 'indices': [111, 120]} {'text': 'mini', 'indices': [121, 126]} {'text': 'laptop', 'indices': [127, 134]}","positive"
"e_nterdiscipl","RT @DevsKrate: Let's see what this tinay computer can do????

Follow us @devskrate ???? for more interesting stuff..
#computer #mini #laptop #sup…",,"4","{'text': 'computer', 'indices': [111, 120]} {'text': 'mini', 'indices': [121, 126]} {'text': 'laptop', 'indices': [127, 134]}","positive"
"developersbot","RT @DevsKrate: Let's see what this tinay computer can do????

Follow us @devskrate ???? for more interesting stuff..
#computer #mini #laptop #sup…","AWS Server","4","{'text': 'computer', 'indices': [111, 120]} {'text': 'mini', 'indices': [121, 126]} {'text': 'laptop', 'indices': [127, 134]}","positive"
"DevsKrate","Let's see what this tinay computer can do????

Follow us @devskrate ???? for more interesting stuff..
#computer #mini… https://t.co/zyUeVNdpYz",,"4","{'text': 'computer', 'indices': [96, 105]} {'text': 'mini', 'indices': [106, 111]}","positive"
"rchirag32","Dell XPS 17 Review - My New Laptop
https://t.co/l5XEXULZMT

#BoycottBollywoodFilms #OnePlus85G… https://t.co/omPSb9VycU",,"0","{'text': 'BoycottBollywoodFilms', 'indices': [60, 82]} {'text': 'OnePlus85G', 'indices': [83, 94]}","positive"
"LlnuxBot","RT @CeotechI: Acer Aspire 7 A715-75G-56ZA con Intel Core i5-9300H, RAM 8 GB DDR4, 512 GB PCIe NVMe SSD, Display 15.6"" FHD IPS LED LCD, NVID…","Raspberry Pi","6",,"neutral"
"dfielddavidson","I’m joining this amazing company at the right time! Let’s kick some butt #channelpartners #uknorth
#ExaGrid #dell… https://t.co/BlUjx6HqMj","Bramhall, Cheshire","0","{'text': 'channelpartners', 'indices': [73, 89]} {'text': 'uknorth', 'indices': [90, 98]} {'text': 'ExaGrid', 'indices': [99, 107]} {'text': 'dell', 'indices': [108, 113]}","positive"
"AYUSHGU89889043","RT @AYUSHGU89889043: Acer is doing well by ignoring their customers, it's been 25 days and my laptop is still not repaired and I hope it is…","HIMANCHAL PRADESH, India","1",,"neutral"
"OptionPivots","Check out DELL 4-MONITOR TRADING COMPUTER XEON MAXTURBO 3.46GHz 256GBSSD 2TBHDD 18GBRAM #DELL https://t.co/s3rRejmLsA via @eBay","Florida, USA","0","{'text': 'DELL', 'indices': [88, 93]}","neutral"
"GetRepairMY","Thank you Ms Ann Jie trust us to do screen replacement. 
Professional Laptop Repair Service. Dell Inspiron 3542
Col… https://t.co/B1rzUPW4KS","Selangor, Malaysia","0",,"positive"
"shopnex","Check out this Amazon deal: 2019 Dell Vostro 15 3000 15.6"" FHD LED-Backlit Business Laptop Computer, Intel Core i5-… https://t.co/JbV4o1NR26",,"0",,"neutral"
"Taieb_Bot","RT @CDWGWAGov: Dell advances HCI with latest enhancements for VxRail and VMware Cloud... #cloud #javascript #html #Python #bootstrap #dell…","Raspberry PI","35","{'text': 'cloud', 'indices': [89, 95]} {'text': 'javascript', 'indices': [96, 107]} {'text': 'html', 'indices': [108, 113]} {'text': 'Python', 'indices': [114, 121]} {'text': 'bootstrap', 'indices': [122, 132]} {'text': 'dell', 'indices': [133, 138]}","positive"
"fluttbot","RT @CDWGWAGov: Dell advances HCI with latest enhancements for VxRail and VMware Cloud... #cloud #javascript #html #Python #bootstrap #dell…",,"35","{'text': 'cloud', 'indices': [89, 95]} {'text': 'javascript', 'indices': [96, 107]} {'text': 'html', 'indices': [108, 113]} {'text': 'Python', 'indices': [114, 121]} {'text': 'bootstrap', 'indices': [122, 132]} {'text': 'dell', 'indices': [133, 138]}","positive"
"HarryHSolo","RT @CDWGWAGov: Dell advances HCI with latest enhancements for VxRail and VMware Cloud... #cloud #javascript #html #Python #bootstrap #dell…",,"35","{'text': 'cloud', 'indices': [89, 95]} {'text': 'javascript', 'indices': [96, 107]} {'text': 'html', 'indices': [108, 113]} {'text': 'Python', 'indices': [114, 121]} {'text': 'bootstrap', 'indices': [122, 132]} {'text': 'dell', 'indices': [133, 138]}","positive"
"nodeQuotesBot","RT @CDWGWAGov: Dell advances HCI with latest enhancements for VxRail and VMware Cloud... #cloud #javascript #html #Python #bootstrap #dell…",,"35","{'text': 'cloud', 'indices': [89, 95]} {'text': 'javascript', 'indices': [96, 107]} {'text': 'html', 'indices': [108, 113]} {'text': 'Python', 'indices': [114, 121]} {'text': 'bootstrap', 'indices': [122, 132]} {'text': 'dell', 'indices': [133, 138]}","positive"
"hairlessgreek","2 x #dell  r610 servers with 96GB RAM, 256GB SSD’s with 8TB iSCSI connected, CPU's are angry too !","Sparta","0","{'text': 'dell', 'indices': [4, 9]}","negative"
"noknoicg","Projector Dell 1610HD
selling at : https://t.co/ZyucvcQbqo
#blender #Blender3d #b3d #cgtrader #cycles #prop #assets… https://t.co/5bCzoosF2D",,"0","{'text': 'blender', 'indices': [59, 67]} {'text': 'Blender3d', 'indices': [68, 78]} {'text': 'b3d', 'indices': [79, 83]} {'text': 'cgtrader', 'indices': [84, 93]} {'text': 'cycles', 'indices': [94, 101]} {'text': 'prop', 'indices': [102, 107]} {'text': 'assets', 'indices': [108, 115]}","neutral"
"anim8orkid","New #Dell #Inspiron 5593 laptop to replace my ailing HP Envy. First upgrade I've had in years but it was time. Will… https://t.co/MXQKx6VwHN","Memphis, TN","0","{'text': 'Dell', 'indices': [4, 9]} {'text': 'Inspiron', 'indices': [10, 19]}","positive"
"elliumeffect","@lamboigini @Apple To their credit, and after 9 years using #MacBook, these laptops are SOLID. So many #computer co… https://t.co/gUsNDJOI5v","Oregon, USA","0","{'text': 'MacBook', 'indices': [60, 68]} {'text': 'computer', 'indices': [103, 112]}","positive"
"adgtravel","Check out Dell Black Wired USB Mouse M056uoa DP/N OCJ339 Goyo3s3s #Dell https://t.co/IT2B0OQfSn via @eBay","Orlando Fl","0","{'text': 'Dell', 'indices': [66, 71]}","negative"
"DellCares","????️ #SupportAssist is a great tool for keeping your #Dell PC optimized.
???? Make sure you keep it up to date.

Here is… https://t.co/knwyVqjwsz","Austin TX","0","{'text': 'SupportAssist', 'indices': [3, 17]} {'text': 'Dell', 'indices': [51, 56]}","positive"
"CXtec","In this blog post, we present a collected list of third-party maintenance practices around code updates that you'll… https://t.co/4fgNKwcrV8","Syracuse, NY","0",,"neutral"
"JimBobXmasEve","RT @sarahcanary: @Dell @dellcares do not care! I paid $800 for a Dell 10 months ago, now it's dead and because a sticker fell off it, NO ON…","Appalachian Hillbilly","1",,"negative"
"friday_Js_bot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
"TheDeveloperBot","RT @CDWGWAGov: Dell Work From Home Solutions #RemoteWorking #WFH #coding #100DaysOfCode #ethicalhacking #pandemic #cybersecurity #Dell #cor…",,"18","{'text': 'RemoteWorking', 'indices': [45, 59]} {'text': 'WFH', 'indices': [60, 64]} {'text': 'coding', 'indices': [65, 72]} {'text': '100DaysOfCode', 'indices': [73, 87]} {'text': 'ethicalhacking', 'indices': [88, 103]} {'text': 'pandemic', 'indices': [104, 113]} {'text': 'cybersecurity', 'indices': [114, 128]} {'text': 'Dell', 'indices': [129, 134]}","neutral"
